name,height,width,beta_hat,l1,stego_method,alpha
images/10.png,512,512,-0.01607049,4.2455425,,
images/6.png,512,512,-0.013571257,3.2614636,,
images/7.png,512,512,0.0032864693,2.470835,,
images/8.png,512,512,-0.011296063,2.522632,,
images/9.png,512,512,-0.0009149719,1.8709126,,
stego_LSBR_alpha_0.01_independent_images/10.png,512,512,-0.01308637,4.246717,LSBR,0.01
stego_LSBR_alpha_0.01_independent_images/6.png,512,512,-0.008619423,3.2630384,LSBR,0.01
stego_LSBR_alpha_0.01_independent_images/7.png,512,512,0.007052256,2.4729571,LSBR,0.01
stego_LSBR_alpha_0.01_independent_images/8.png,512,512,-0.0057922285,2.5259535,LSBR,0.01
stego_LSBR_alpha_0.01_independent_images/9.png,512,512,0.0040611248,1.8731831,LSBR,0.01
stego_LSBR_alpha_0.05_independent_images/10.png,512,512,0.0054495605,4.2515497,LSBR,0.05
stego_LSBR_alpha_0.05_independent_images/6.png,512,512,0.009202709,3.2701864,LSBR,0.05
stego_LSBR_alpha_0.05_independent_images/7.png,512,512,0.024313193,2.4813616,LSBR,0.05
stego_LSBR_alpha_0.05_independent_images/8.png,512,512,0.018782904,2.53908,LSBR,0.05
stego_LSBR_alpha_0.05_independent_images/9.png,512,512,0.027504615,1.8852237,LSBR,0.05
stego_LSBR_alpha_0.1_independent_images/10.png,512,512,0.026692629,4.257411,LSBR,0.1
stego_LSBR_alpha_0.1_independent_images/6.png,512,512,0.036916953,3.279467,LSBR,0.1
stego_LSBR_alpha_0.1_independent_images/7.png,512,512,0.05097743,2.4938993,LSBR,0.1
stego_LSBR_alpha_0.1_independent_images/8.png,512,512,0.04729894,2.5548038,LSBR,0.1
stego_LSBR_alpha_0.1_independent_images/9.png,512,512,0.05117976,1.8987205,LSBR,0.1
stego_LSBR_alpha_0.2_independent_images/10.png,512,512,0.0768996,4.269296,LSBR,0.2
stego_LSBR_alpha_0.2_independent_images/6.png,512,512,0.08646114,3.2979085,LSBR,0.2
stego_LSBR_alpha_0.2_independent_images/7.png,512,512,0.096328594,2.514931,LSBR,0.2
stego_LSBR_alpha_0.2_independent_images/8.png,512,512,0.09287949,2.5832906,LSBR,0.2
stego_LSBR_alpha_0.2_independent_images/9.png,512,512,0.102061085,1.9245288,LSBR,0.2
stego_LSBR_alpha_0.4_independent_images/10.png,512,512,0.19296393,4.2959437,LSBR,0.4
stego_LSBR_alpha_0.4_independent_images/6.png,512,512,0.19855134,3.3381186,LSBR,0.4
stego_LSBR_alpha_0.4_independent_images/7.png,512,512,0.19268337,2.557234,LSBR,0.4
stego_LSBR_alpha_0.4_independent_images/8.png,512,512,0.19340782,2.6391344,LSBR,0.4
stego_LSBR_alpha_0.4_independent_images/9.png,512,512,0.20390947,1.9773067,LSBR,0.4
stego_LSBR_alpha_1.0_independent_images/10.png,512,512,0.49468744,4.3647323,LSBR,1.0
stego_LSBR_alpha_1.0_independent_images/6.png,512,512,0.5011322,3.4372606,LSBR,1.0
stego_LSBR_alpha_1.0_independent_images/7.png,512,512,0.46193996,2.6698978,LSBR,1.0
stego_LSBR_alpha_1.0_independent_images/8.png,512,512,0.4917981,2.7877057,LSBR,1.0
stego_LSBR_alpha_1.0_independent_images/9.png,512,512,0.4988306,2.1251187,LSBR,1.0
stego_HILLR_alpha_0.01_independent_images/10.png,512,512,-0.00900293,4.2458043,HILLR,0.01
stego_HILLR_alpha_0.01_independent_images/6.png,512,512,-0.009476456,3.2618904,HILLR,0.01
stego_HILLR_alpha_0.01_independent_images/7.png,512,512,0.006330012,2.4713705,HILLR,0.01
stego_HILLR_alpha_0.01_independent_images/8.png,512,512,0.0042319046,2.523565,HILLR,0.01
stego_HILLR_alpha_0.01_independent_images/9.png,512,512,0.005175285,1.871342,HILLR,0.01
stego_HILLR_alpha_0.05_independent_images/10.png,512,512,0.01298785,4.2465353,HILLR,0.05
stego_HILLR_alpha_0.05_independent_images/6.png,512,512,-4.425244e-05,3.2629838,HILLR,0.05
stego_HILLR_alpha_0.05_independent_images/7.png,512,512,0.0218482,2.474658,HILLR,0.05
stego_HILLR_alpha_0.05_independent_images/8.png,512,512,0.026194613,2.52581,HILLR,0.05
stego_HILLR_alpha_0.05_independent_images/9.png,512,512,0.020876307,1.8751011,HILLR,0.05
stego_HILLR_alpha_0.1_independent_images/10.png,512,512,0.050602484,4.2486176,HILLR,0.1
stego_HILLR_alpha_0.1_independent_images/6.png,512,512,0.01928254,3.2655125,HILLR,0.1
stego_HILLR_alpha_0.1_independent_images/7.png,512,512,0.041936215,2.479988,HILLR,0.1
stego_HILLR_alpha_0.1_independent_images/8.png,512,512,0.056517385,2.5283716,HILLR,0.1
stego_HILLR_alpha_0.1_independent_images/9.png,512,512,0.04896363,1.8818473,HILLR,0.1
stego_HILLR_alpha_0.2_independent_images/10.png,512,512,0.10263109,4.25439,HILLR,0.2
stego_HILLR_alpha_0.2_independent_images/6.png,512,512,0.077552885,3.2747333,HILLR,0.2
stego_HILLR_alpha_0.2_independent_images/7.png,512,512,0.09140218,2.4901059,HILLR,0.2
stego_HILLR_alpha_0.2_independent_images/8.png,512,512,0.10473147,2.5358434,HILLR,0.2
stego_HILLR_alpha_0.2_independent_images/9.png,512,512,0.09513491,1.8964077,HILLR,0.2
stego_HILLR_alpha_0.4_independent_images/10.png,512,512,0.21557562,4.2692595,HILLR,0.4
stego_HILLR_alpha_0.4_independent_images/6.png,512,512,0.18141924,3.2924702,HILLR,0.4
stego_HILLR_alpha_0.4_independent_images/7.png,512,512,0.19609931,2.5138428,HILLR,0.4
stego_HILLR_alpha_0.4_independent_images/8.png,512,512,0.18740983,2.5538354,HILLR,0.4
stego_HILLR_alpha_0.4_independent_images/9.png,512,512,0.19475359,1.9323628,HILLR,0.4
